hashtag,mention,support,explicit
maga,DT,DT,0.0
trump2020,DT,DT,0.0
biden2020,JB,JB,0.0
trumpvirus,DT,JB,0.0
obamagate,JB,DT,0.0
kag2020,DT,DT,0.0
kag,DT,DT,0.0
wwg1wga,DT,DT,0.0
demconvention,JB,JB,1.0
traitortrump,DT,JB,1.0
trumpisnotwell,DT,JB,1.0
maga2020,DT,DT,0.0
trump2020landslide,DT,DT,0.0
bidenharris2020,JB,JB,0.0
gojoe,JB,JB,1.0
americafirst,DT,DT,1.0
impeachment,DT,JB,1.0
gop,DT,DT,0.0
teamjoe,JB,JB,0.0
trumpisalaughingstock,DT,JB,1.0
trumpmeltdown,DT,JB,1.0
medicareforall,JB,JB,0.0
presidenttrump,DT,DT,0.0
trumprally,DT,DT,0.0
votebluetosaveamerica,JB,JB,1.0
moscowmitch,DT,JB,0.0
trumpisanationaldisgrace,DT,JB,1.0
trump2020nowmorethanever,DT,DT,1.0
voteblue,JB,JB,1.0
bountygate,DT,JB,0.0
americaortrump,DT,JB,0.0
fourmoreyears,DT,DT,1.0
dumptrump2020,DT,JB,1.0
votebluetoendthisnightmare,JB,JB,1.0
voteblue2020,JB,JB,1.0
dumptrump,DT,JB,1.0
trumpliesamericansdie,DT,JB,1.0
neverbiden,JB,DT,1.0
trumpfailedamerica,DT,JB,1.0
trump2020landslidevictory,DT,DT,0.0
creepytrump,DT,JB,1.0
trumpkillsus,DT,JB,0.0
votebluenomatterwho,JB,JB,1.0
joebiden2020,JB,JB,0.0
bidenriots,JB,DT,0.0
trumpisacompletefailure,DT,JB,1.0
patriots,DT,DT,0.0
trumpislosing,DT,JB,0.0
wewantjoe,JB,JB,1.0
liarinchief,DT,JB,0.0
deepstate,DT,DT,0.0
dictatortrump,DT,JB,1.0
draintheswamp,DT,DT,0.0
sleepyjoe,JB,DT,1.0
trumpcrimefamily,DT,JB,1.0
trumpisunwell,DT,JB,0.0
putinspuppet,DT,JB,1.0
impeachedforlife,DT,JB,0.0
trumpriots,DT,JB,0.0
trumpisanidiot,DT,JB,1.0
trumpresignnow,DT,JB,1.0
rncconvention2020,DT,DT,0.0
trumprallyfail,DT,JB,0.0
kag2020landslidevictory,DT,DT,0.0
bernie2020,JB,JB,0.0
votetrumpout,DT,JB,1.0
voteredtosaveamerica,DT,DT,1.0
nobodylikestrump,DT,JB,1.0
makeamericagreatagain,DT,DT,0.0
bluewave2020,JB,JB,1.0
keepamericagreat,DT,DT,1.0
bidenharris,JB,JB,0.0
trumpkillstexas,DT,JB,1.0
womenfortrump,DT,DT,1.0
trumphasnoplan,DT,JB,1.0
worstpresidentever,DT,JB,1.0
fakepresident,DT,JB,0.0
quidproquo,DT,DT,0.0
biden2020landslide,JB,JB,0.0
worstpresidentinhistory,DT,JB,0.0
americasgreatestmistake,DT,JB,1.0
gopcowards,DT,JB,0.0
4moreyears,DT,DT,0.0
trumppressconference,DT,JB,0.0
trumptraitor,DT,JB,1.0
votebluetosaveamerica2020,JB,JB,1.0
blackvoicesfortrump,DT,DT,1.0
votebiden2020,JB,JB,1.0
byedon,DT,JB,1.0
bidenbeatstrump,,JB,
bluenomatterwho,,JB,
nevertrump,,JB,
byedon2020,,JB,
bidenforpresident,,JB,
votebiden,,JB,
trumpout2020,,JB,
trumpliespeopledie,,JB,
impeach,,JB,
joe2020,,JB,
presidentbiden,,JB,
joementum,,JB,
trumpslump,,JB,
weknowjoe,,JB,
teambiden,,JB,
bidenforpresident2020,,JB,
democrats2020,,JB,
ridingwithbiden,,JB,
lockhimup,,JB,
presidementia,,JB,
ridinwithbiden,,JB,
trumpisnotadoctor,,JB,
ridenwithbiden,,JB,
gojoe2020,,JB,
joebidenforpresident2020,,JB,
petetobiden,,JB,
impeachmentday,,JB,
votebluenomatterwho2020,,JB,
quidproquojoe,,DT,
bideniscorrupt,,DT,
thankyoupresidenttrump,,DT,
neverbernie,,DT,
magats,,DT,
kaga2020,,DT,
dementiajoe,,DT,
welovetrump,,DT,
bidencorruption,,DT,
qanon,,DT,
hunterbiden,,DT,
bidenscognitivedecline,,DT,
tcot,,DT,
creepyunclejoe,,DT,
quidprojoe,,DT,
thebestpresidentever,,DT,
creepyjoe,,DT,
demexit,,DT,
dropoutjoe,,DT,
democratsarecorrupt,,DT,
hidinbiden,,DT,
bidencrimefamily,,DT,
democratsaredestroyingamerica,,DT,
voteredtosaveamerica2020,,DT,
potus45,,DT,
trumplandslide2020,,DT,
trump2020landside,,DT,
standforamerica,,DT,
joebidenisaracist,,DT,
burisma,,DT,
joebidenisracist,,DT,
walkawayfromdemocrats,,DT,
bestpresidentever,,DT,
lyinbiden,,DT,
republican,,DT,
bestpresidentever45,,DT,
dropoutbiden,,DT,
whereisjoe,,DT,
creepyjoebiden,,DT,
impeachmenthoax,,DT,
rnc2020,,DT,
democratstheenemywithin,,DT,
trumptalkstrump,,JB,
trumpiskillingus,,JB,
trumpisatraitor,,JB,
trumpgenocide,,JB,
votetrumpout2020,,JB,
trumptrain,,DT,
votetrump,,DT,
voteforbidenharris,,JB,
unpresidentedidiot,,JB,
trumpviruscatastrophe,,JB,
trumpthesnake,,JB,
trumpknewanddidnothing,,JB,
votered,,DT,
lyingtrump,,JB,
demcast,,JB,
votebidenharris2020,,JB,
trumpsamerica,,JB,
byedonjr,,JB,
wrongtrump,,JB,
trumpgriftsyoudie,,JB,
trumphasnocredibility,,JB,
gestapotrump,,JB,
trumpfailed,,JB,
republicansforbiden,,JB,
dnc2020,,JB,
trumpchaos,,JB,
trumpterrorism,,JB,
democraticconvention,,DT,
trumpthreatensamerica,,JB,
trumpviolence,,JB,
rnc,,DT,
feelthebern,,JB,
berniesanders2020,,JB,
berniebros,,JB,
medicare4all,,JB,
presidentberniesanders,,JB,
bernieismypresident,,JB,
warren2020,,JB,
teampete,,JB,
tulsi2020,,JB,
peteforamerica,,JB,
pete2020,,JB,
mayorpete,,JB,
impeachtrump,,JB,
standwithtulsi,,JB,
amyforamerica,,JB,
impeachtrumpnow,,JB,
notmeus,,JB,
impeached,,JB,
theresistance,,JB,
trumpimpeachment,,JB,
presidentpussyassbitch,,JB,
bernieorbust,,JB,
notabovethelaw,,JB,
thepresidentisacrybaby,,JB,
notmypresident,,JB,
trumpresign,,JB,
gopcoverup,,JB,
ourrevolution,,JB,
shitholepresident,,JB,
resist,,JB,
yeswecanagain,,JB,
